iter	Logloss
547	0.5933029818
548	0.5932501354
549	0.5931997579
550	0.593156759
551	0.5930939542
552	0.5930335802
553	0.592946705
554	0.5928962341
555	0.5928715992
556	0.5928253405
557	0.592776184
558	0.5927267371
559	0.592689314
560	0.5926451133
561	0.5926080498
562	0.5925688523
563	0.5925085335
564	0.5924704151
565	0.5924300537
566	0.5923926069
567	0.5923517663
568	0.5923171191
569	0.5922817064
570	0.5922365385
571	0.5921742946
572	0.5921432801
573	0.5921191295
574	0.5920562503
575	0.5920221245
576	0.5919686552
577	0.5919338112
578	0.5918985598
579	0.5918717472
580	0.5918206891
581	0.5917556891
582	0.5917295996
583	0.5916879168
584	0.5916468734
585	0.5916018719
586	0.5915564439
587	0.5915081644
588	0.5914662435
589	0.5914179843
590	0.5913888946
591	0.5913417874
592	0.5913281446
593	0.5912830239
594	0.5912543364
595	0.591222216
596	0.5911505442
597	0.591065227
598	0.591029899
599	0.5909918582
600	0.5909671659
601	0.5909399533
602	0.590900854
603	0.5908655082
604	0.5908270915
605	0.5907872918
606	0.5907206756
607	0.5906907852
608	0.5906562499
609	0.5906284228
610	0.5905986354
611	0.5905527645
612	0.590532088
613	0.5904907415
614	0.5904639005
615	0.590432139
616	0.5904014114
617	0.5903636244
618	0.590325123
619	0.5902677772
620	0.5902314115
621	0.5902085598
622	0.5901849984
623	0.5901311049
624	0.5901006542
625	0.5900613596
626	0.5900290671
627	0.5899672981
628	0.5899305763
629	0.5899070087
630	0.5898677554
631	0.5898341839
632	0.5897928247
633	0.5897588975
634	0.5897143571
635	0.589692578
636	0.5896734145
637	0.5896470198
638	0.5896163862
639	0.5895981714
640	0.5895651463
641	0.589524444
642	0.5894682773
643	0.5894305394
644	0.5893953889
645	0.5893447222
646	0.5893153183
647	0.5892837691
648	0.589213122
649	0.5891787922
650	0.589145627
651	0.5891139672
652	0.5890485377
653	0.5890171844
654	0.588988091
655	0.5889547725
656	0.588905567
657	0.5888756108
658	0.5888250597
659	0.5887814575
660	0.5887438011
661	0.5886876559
662	0.5886433178
663	0.5886129288
664	0.5885860662
665	0.5885408036
666	0.5885152163
667	0.5884851091
668	0.5884504341
669	0.5884058248
670	0.5883703596
671	0.5883320553
672	0.5883017736
673	0.588272245
674	0.5881997234
675	0.5881677495
676	0.588140582
677	0.5881136362
678	0.5880893283
679	0.588046663
680	0.5880061866
681	0.5879846084
682	0.5879514703
683	0.5879125261
684	0.5878572682
685	0.5878300897
686	0.58779763
687	0.5877623729
688	0.5877283113
689	0.5876982188
690	0.5876585167
691	0.5876271223
692	0.5876037486
693	0.5875500157
694	0.5875157003
695	0.5874897344
696	0.5874665518
697	0.5874424053
698	0.5874111769
699	0.5873852967
700	0.5873578327
701	0.5873248536
702	0.5873007397
703	0.587255511
704	0.5872252085
705	0.5871956828
706	0.5871579662
707	0.5871336819
708	0.5871073412
709	0.5870428215
710	0.586990672
711	0.586959462
712	0.58693269
713	0.5869056628
714	0.5868776942
715	0.5868455623
716	0.5868203316
717	0.586789458
718	0.5867475777
719	0.586684414
720	0.5866511734
721	0.5866259332
722	0.5865957208
723	0.5865600516
724	0.5865217048
725	0.5864918573
726	0.5864570424
727	0.5864380379
728	0.586408772
